Disease,Predicted_Count
Allergy,5362.164145290852
Fever,4119.921761602163
Cold,3969.2599025070663
Skin Rash,3937.1054486930366
Cough,3889.742430001497
Dengue,3823.943927288055
Headache,3714.918789476156
Eye Infection,3695.5968498885627
Malaria,2755.6077432632446
Diarrhea,2379.560223251581
