Disease,Predicted_Count
Allergy,5274.603687644005
Fever,4025.031594187021
Cold,3893.8909316062923
Skin Rash,3861.743687242269
Cough,3811.562387168407
Dengue,3742.9175322353835
Headache,3631.764072746038
Eye Infection,3621.392435252666
Malaria,2768.4788357168436
Diarrhea,2044.4166299477217
