Disease,Predicted_Count
Allergy,5341.429460287094
Fever,4075.32057583332
Cold,3910.6637937426563
Skin Rash,3869.2286302745338
Cough,3804.8672623932357
Dengue,3722.857467681169
Headache,3593.744194477796
Eye Infection,3571.2315363883968
Malaria,2689.5013816952705
Diarrhea,2346.6016856729984
